study,transition,ligand,receptor,sender,receiver,log2FC,pLig,pRec,score_sham,score_mcao,pathway,sig
GSE197731_KO,48h,Ccl7,Ccr2,Macrophage,Tcell,-0.7319972,0.65070623,0.10908124,0.18622813,0.111724414,Chemokine,False
GSE197731_KO,24h,Cd40,Cd40lg,Bcell,Tcell,-0.5353786,0.56943756,0.87278605,0.04442187,0.030340072,Costim,False
GSE197731_KO,48h,Cd40,Cd40lg,Bcell,Tcell,-0.61750144,0.13482757,0.9271375,0.04442187,0.028605917,Costim,False
GSE197731_KO,24h,Cdh1,Cdh1,NK,NK,-0.30086985,0.9239919,0.9239919,0.015603261,0.01247791,Adhesion,False
GSE197731_KO,48h,Cdh1,Cdh1,NK,NK,-0.6919574,0.376665,0.376665,0.015603261,0.009277642,Adhesion,False
GSE197731_KO,24h,Cdh2,Cdh2,Oligodendrocyte,Oligodendrocyte,-0.89649224,0.41341034,0.41341034,0.01644384,0.008370678,Adhesion,False
GSE197731_KO,24h,Col4a1,Cd44,Endothelial,Pericyte,3.0713933,0.0061478904,0.00019660445,0.23687854,1.9985708,ECM,True
GSE197731_KO,48h,Col4a1,Cd44,Endothelial,Endothelial,2.5383024,0.7039378,0.0030739745,0.22241007,1.2968004,ECM,True
GSE197731_KO,24h,Csf1,Csf1r,Pericyte,NK,2.1513796,0.07768115,0.063419215,0.059961356,0.2698223,Cytokine,False
GSE197731_KO,48h,Csf1,Csf1r,Oligodendrocyte,Macrophage,0.95669305,0.0023698565,1.2941223e-26,0.35266984,0.6854222,Cytokine,True
GSE197731_KO,24h,Ctla4,Cd80,Tcell,NK,3.106684,0.097932294,8.693029e-09,0.015917243,0.14472519,Checkpoint,True
GSE197731_KO,48h,Ctla4,Cd80,Tcell,NK,2.446679,0.050753035,0.030964239,0.015917243,0.09122601,Checkpoint,True
GSE197731_KO,24h,Cx3cl1,Cx3cr1,Endothelial,Macrophage,-2.4877114,0.59410614,0.0,0.107831106,0.018403376,Chemokine,True
GSE197731_KO,48h,Cx3cl1,Cx3cr1,Endothelial,NK,-3.3891044,0.34924546,2.8326879e-06,0.0744944,0.006205974,Chemokine,True
GSE197731_KO,24h,Cxcl10,Cxcr3,NK,NK,-2.3983166,0.77764356,1.1444397e-06,0.066941135,0.011887467,Chemokine,True
GSE197731_KO,48h,Cxcl10,Cxcr3,Oligodendrocyte,Tcell,-2.729279,0.44623443,0.0006365095,0.14197715,0.020561144,Chemokine,True
GSE197731_KO,24h,Cxcl10,Sdc1,Microglia,Macrophage,1.9336035,2.0423607e-26,1.693111e-08,0.023087565,0.091016464,Chemokine,True
