tf,target,dorothea_weight,dorothea_sign,a_aff,r_24h,r_raw_24h,r_sham,r_raw_sham,dW_sham_24h,dW_raw_sham_24h,p_sham_24h,fdr_bh_sham_24h,q_pooled_sham_24h
Jund,Klf6,0.3333333333333333,activation,0.3781609863084655,0.08901751041412354,0.30392348766326904,0.009240900166332722,0.16171297430992126,0.07977660745382309,0.14221051335334778,0.029850746268656716,0.8587914422378466,0.8058307926829268
Jund,Sox4,1.0,activation,0.11143988741032075,0.010302587412297726,0.0644925907254219,-0.013701648451387882,0.07557947933673859,0.024004235863685608,-0.011086888611316681,0.4228855721393035,0.9736445509677888,0.9747315722198552
Jund,Nqo2,1.0,activation,-0.019081561744475634,-0.0071077193133533,-0.010368001647293568,0.0012274831533432007,-0.005429130978882313,-0.008335202932357788,-0.004938870668411255,0.8208955223880597,0.9920024961975589,0.9910795454545455
Jund,Daam1,0.3333333333333333,activation,-0.009283937660411329,0.007328597828745842,-0.00898690614849329,-0.03801198676228523,-0.07051197439432144,0.045340582728385925,0.061525069177150726,0.19900497512437812,0.941247866945466,0.9301989431147032
Jund,Ndrg1,0.3333333333333333,activation,-0.6833500518494858,0.0008012738544493914,0.15882019698619843,-0.012725500389933586,0.035107921808958054,0.013526774011552334,0.12371227145195007,0.6965174129353234,0.9900140888877453,0.9910795454545455
Jund,Ptk2,0.3333333333333333,activation,-0.06348934038916791,-0.018258213996887207,0.015345959924161434,-0.013508378528058529,-0.0040337382815778255,-0.004749835468828678,0.019379697740077972,0.8756218905472637,0.9925911365093629,0.9925261611238532
Jund,Snx29,0.3333333333333333,activation,0.03954513239991683,-0.023178011178970337,0.01937135122716427,0.015291317366063595,0.06202081963419914,-0.038469329476356506,-0.04264947026968002,0.18407960199004975,0.9369536411653202,0.9278684470820969
Jund,Parn,0.3333333333333333,activation,-0.024308527086977644,-0.00621589133515954,-0.0025188869331032038,0.012007423676550388,0.013417422771453857,-0.018223315477371216,-0.015936309471726418,0.582089552238806,0.98441106392678,0.9860970627208481
Jund,Xxylt1,0.3333333333333333,activation,-0.0027600012841088413,0.024090060964226723,0.023046504706144333,-0.0024409666657447815,-8.571592479711398e-05,0.026531027629971504,0.023132219910621643,0.527363184079602,0.9810040705563093,0.979267146692702
Jund,Zbtb20,0.3333333333333333,activation,-0.5658234153571301,-0.009682481177151203,0.05195081979036331,0.025720346719026566,0.008040799759328365,-0.035402826964855194,0.04391001909971237,0.2935323383084577,0.9684182794686481,0.9670384917517675
